time_created,model_type,model_id,model_path,dataset,layer_depth,hidden_layer_1,hidden_layer_2,hidden_layer_3,hidden_layer_4,hidden_layer_5,hidden_layer_6,hidden_layer_7,hidden_layer_8,hidden_layer_9,training_time,loss,iterations,mse,rmse,mae,mae_percentage,max_error,r2
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_100_x5_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_100/MLPRegressor_100_x5_ds1/model.pkl,ds1,5,100,100,100,100,100,0,0,0,0,539.879,0.001259329056465,1644,0.0009071311888243,0.0301186186407067,0.0224258958815272,1732.4659684211742,16910.84455880225,0.9690255393464146
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_150_x1_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_150/MLPRegressor_150_x1_ds1/model.pkl,ds1,1,150,0,0,0,0,0,0,0,0,25.567,0.0035210682455524,521,0.0067954705055746,0.0824346438433174,0.0664221695013323,5166.448679968683,59755.91265805513,0.7679651671217287
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_150_x1_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_150/MLPRegressor_150_x1_ds1fe1/model.pkl,ds1fe1,1,150,0,0,0,0,0,0,0,0,43.016,6.146010153883865e-05,514,7.601727109562957e-05,0.0087187883960805,0.0064050233332401,507.0991846990787,5366.926694895369,0.9974043512101088
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_150_x2_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_150/MLPRegressor_150_x2_ds1/model.pkl,ds1,2,150,150,0,0,0,0,0,0,0,406.975,0.0006574993947897,2260,0.000705996935468,0.0265706028435188,0.019000743089794,1483.1655508877277,17374.407310324757,0.9758933717982432
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_150_x2_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_150/MLPRegressor_150_x2_ds1fe1/model.pkl,ds1fe1,2,150,150,0,0,0,0,0,0,0,219.127,6.20322980809422e-05,1114,4.312492913475923e-05,0.0065669573726924,0.0045475378694462,366.6257754287552,4284.431537484279,0.9985274771310592
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_150_x3_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_150/MLPRegressor_150_x3_ds1/model.pkl,ds1,3,150,150,150,0,0,0,0,0,0,612.195,0.0007906056389823,2050,0.0009030077692707,0.0300500876749255,0.0219820703626052,1722.402003246444,17848.598809824434,0.969166335626264
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_150_x3_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_150/MLPRegressor_150_x3_ds1fe1/model.pkl,ds1fe1,3,150,150,150,0,0,0,0,0,0,255.572,9.68263494222758e-05,819,5.450868403618399e-05,0.0073829996638347,0.005094059935569,410.850012735103,6184.904620740262,0.9981387729693808
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_150_x4_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_150/MLPRegressor_150_x4_ds1/model.pkl,ds1,4,150,150,150,150,0,0,0,0,0,791.819,0.0009189898557896,1819,0.0008814742462586,0.0296896319656986,0.0215356479716859,1675.0978199700278,17281.69202672647,0.9699016088364544
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_150_x4_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_150/MLPRegressor_150_x4_ds1fe1/model.pkl,ds1fe1,4,150,150,150,150,0,0,0,0,0,296.189,0.0001290162878888,644,5.9821890735391975e-05,0.0077344612440293,0.005482538165253,439.61934994289936,5169.760916767375,0.997957350795966
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_150_x5_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_150/MLPRegressor_150_x5_ds1/model.pkl,ds1,5,150,150,150,150,150,0,0,0,0,1703.244,0.0003889676910675,3269,0.0002354996762183,0.0153459987038425,0.0117200423549064,907.059889156458,7751.087506540344,0.9919587425227756
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_150_x5_ds1fe1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_150/MLPRegressor_150_x5_ds1fe1/model.pkl,ds1fe1,5,150,150,150,150,150,0,0,0,0,390.223,0.0001834181292926,725,6.332381213988338e-05,0.0079576260366948,0.0056240740685948,452.5268838642146,4392.704080648647,0.9978377758898316
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_20_x1_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_20/MLPRegressor_20_x1_ds1/model.pkl,ds1,1,20,0,0,0,0,0,0,0,0,45.974,0.0004924475432137,2814,0.0006825380508289,0.0261254291989418,0.0190376654703289,1487.2161207902298,17449.189035226387,0.9766943874707084
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_20_x2_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_20/MLPRegressor_20_x2_ds1/model.pkl,ds1,2,20,20,0,0,0,0,0,0,0,72.504,0.0005432216397757,2700,0.0006882828050106,0.0262351444633084,0.0188557054994279,1473.6676260298389,17112.379732082994,0.9764982298867128
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_20_x3_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_20/MLPRegressor_20_x3_ds1/model.pkl,ds1,3,20,20,20,0,0,0,0,0,0,75.175,0.0005387075201133,2070,0.0007108289448406,0.0266613755241672,0.0196589421490437,1529.4208072941883,17293.89242600723,0.97572838035485
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_20_x4_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_20/MLPRegressor_20_x4_ds1/model.pkl,ds1,4,20,20,20,20,0,0,0,0,0,89.225,0.0006222310962802,1916,0.0007344895176585,0.0271014670757604,0.0197965451812395,1538.0306296383526,15806.991133704008,0.9749204779358648
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_20_x5_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_20/MLPRegressor_20_x5_ds1/model.pkl,ds1,5,20,20,20,20,20,0,0,0,0,176.527,0.0005883705650392,3246,0.0006316134518075,0.0251319209732863,0.0183138083607128,1435.610194803667,14323.493446356197,0.9784332340764929
05/12/2023 00:00:00,MLPRegressor,MLPRegressor_20_x6_ds1,Models/neural_networks/mlp_regressor/layer_testing/uniform/size_20/MLPRegressor_20_x6_ds1/model.pkl,ds1,6,20,20,20,20,20,20,0,0,0,163.228,0.0007099401424627,2551,0.0006844569399734,0.0261621279710479,0.0186795363888235,1458.2452331881686,16882.020012537956,0.976628866014673
